iter	RMSE
0	3136.778055
1	2994.742873
2	2872.744661
3	2768.839605
4	2674.888161
5	2594.580244
6	2523.975839
7	2465.222053
8	2414.756447
9	2370.967932
10	2334.310433
11	2303.489873
12	2277.462533
13	2253.851686
14	2234.055608
15	2216.97625
16	2200.345935
17	2186.589643
18	2173.176422
19	2162.337432
20	2152.128709
21	2142.43994
22	2134.188089
23	2126.405032
24	2119.682069
25	2112.929731
26	2105.636352
27	2098.324942
28	2092.883413
29	2086.026632
30	2079.14924
31	2074.497672
32	2067.917491
33	2063.360479
34	2059.517358
35	2053.910442
36	2051.085917
37	2046.38483
38	2042.791332
39	2038.014003
40	2032.985851
41	2030.565001
42	2027.532216
43	2024.058456
44	2021.055893
45	2018.508503
46	2016.563063
47	2014.267081
48	2011.767381
49	2009.500069
50	2007.821955
51	2003.526422
52	2001.349811
53	1999.373543
54	1995.943178
55	1993.804649
56	1992.339041
57	1991.315991
58	1990.030717
59	1986.51583
60	1984.705219
61	1984.078207
62	1981.248801
63	1978.522631
64	1977.147642
65	1975.430825
66	1973.217899
67	1971.206719
68	1969.439085
69	1967.793536
70	1965.344943
71	1963.955921
72	1962.904043
73	1961.951823
74	1960.525775
75	1958.184406
76	1956.715168
77	1954.662799
78	1951.925779
79	1950.28962
80	1948.716447
81	1946.383909
82	1944.464306
83	1943.725228
84	1942.47845
85	1941.434013
86	1939.21866
87	1935.349393
88	1934.363237
89	1932.74877
90	1931.158684
91	1928.977446
92	1928.161031
93	1926.728322
94	1925.342884
95	1924.813488
96	1922.860387
97	1921.660151
98	1919.881519
99	1919.055542
100	1916.167458
101	1914.48824
102	1913.769445
103	1912.336964
104	1911.078878
105	1910.037401
106	1909.287582
107	1908.127071
108	1907.043823
109	1906.435414
110	1904.616057
111	1903.816438
112	1902.922042
113	1902.482426
114	1901.691196
115	1900.056739
116	1898.442619
117	1897.794714
118	1896.521237
119	1895.84198
120	1894.791709
121	1893.723869
122	1892.419421
123	1891.848588
124	1891.306128
125	1888.65451
126	1886.984923
127	1885.339843
128	1884.419464
129	1883.868071
130	1882.481838
131	1881.772678
132	1879.492425
133	1878.668813
134	1877.345245
135	1875.906141
136	1875.019331
137	1873.897214
138	1872.981262
139	1872.025608
140	1870.845629
141	1870.512083
142	1869.424447
